accident_type,severity_class,year,x_etrs,y_etrs,lon,lat
JK,1,2022,25501661.910,6675786.730,25.029960,60.194891
JK,2,2022,25502790.940,6674533.320,25.050296,60.183635
JK,2,2022,25506837.810,6679536.470,25.123393,60.228492
JK,2,2022,25498807.130,6675297.680,24.978499,60.190503
JK,2,2022,25495525.130,6674924.210,24.919349,60.187128
JK,2,2022,25504331.380,6677507.600,25.078120,60.210317
JK,1,2022,25504834.460,6677954.060,25.087204,60.214318
JK,2,2022,25497548.250,6674040.250,24.955823,60.179211
JK,2,2022,25505001.390,6677559.380,25.090205,60.210774
JK,2,2022,25500677.100,6682334.120,25.012228,60.253659
JK,1,2022,25500113.230,6681507.620,25.002044,60.246241
JK,1,2022,25496881.480,6675933.670,24.943779,60.196201
JK,2,2022,25501815.850,6681189.310,25.032783,60.243380
JK,1,2022,25497330.330,6672992.480,24.951910,60.169806
JK,1,2022,25501228.040,6679796.120,25.022162,60.230878
JK,2,2022,25504168.180,6681105.290,25.075250,60.242609
JK,2,2022,25496336.690,6672903.270,24.934012,60.168997
JK,1,2022,25495978.670,6672078.060,24.927580,60.161587
JK,2,2022,25494351.680,6681441.960,24.898019,60.245613
JK,2,2022,25496111.910,6675530.180,24.929913,60.192573
JK,2,2022,25504192.320,6677474.010,25.075611,60.210016
JK,2,2022,25495247.180,6674910.300,24.914340,60.187000
JK,1,2022,25498181.120,6676697.050,24.967202,60.203060
JK,2,2022,25495319.410,6672072.710,24.915707,60.161532
JK,3,2022,25496003.790,6680498.930,24.927866,60.237168
JK,2,2022,25497828.150,6675194.610,24.960854,60.189574
JK,2,2022,25496932.090,6673215.930,24.944733,60.171808
JK,2,2022,25499072.380,6674850.540,24.983282,60.186490
JK,2,2022,25493869.460,6672544.990,24.889581,60.165752
JK,2,2022,25496056.240,6680593.950,24.928811,60.238022
JK,2,2022,25493437.220,6676631.320,24.881664,60.202422
JK,2,2022,25504493.740,6677671.150,25.081052,60.211783
JK,2,2022,25496340.200,6681033.750,24.933929,60.241972
JK,2,2022,25500435.290,6682241.690,25.007861,60.252829
JK,2,2022,25497233.020,6671748.310,24.950174,60.158638
JK,2,2022,25497111.500,6672524.840,24.947975,60.165607
JK,2,2022,25502351.960,6683678.990,25.042491,60.265723
JK,2,2022,25497736.940,6675387.590,24.959208,60.191305
JK,2,2022,25501157.560,6680881.960,25.020897,60.240624
JK,2,2022,25500538.950,6683472.970,25.009736,60.263880
JK,3,2022,25504597.130,6681541.310,25.083004,60.246518
JK,2,2022,25501976.840,6675826.970,25.035637,60.195250
JK,2,2022,25496658.220,6673235.450,24.939799,60.171982
JK,2,2022,25502891.270,6674097.730,25.052098,60.179724
JK,2,2022,25498031.880,6675460.490,24.964523,60.191961
JK,3,2022,25496540.850,6679066.040,24.937585,60.224312
JK,2,2022,25493652.180,6680628.430,24.885415,60.238301
JK,2,2022,25496367.450,6672464.380,24.934574,60.165058
JK,2,2022,25496937.170,6672762.790,24.944831,60.167741
JK,2,2022,25492999.290,6676799.190,24.873761,60.203921
JK,2,2022,25497795.290,6674970.620,24.960264,60.187563
JK,1,2022,25496075.560,6672158.030,24.929323,60.162306
JK,2,2022,25494682.350,6675747.620,24.904138,60.194508
JK,2,2022,25497265.620,6673093.040,24.950743,60.170708
JK,3,2022,25494368.930,6678141.890,24.898422,60.215994
JK,2,2022,25494742.010,6675575.990,24.905218,60.192969
JK,2,2022,25498038.430,6675458.830,24.964641,60.191946
JK,2,2022,25497006.530,6672361.580,24.946086,60.164141
MA,2,2022,25502814.790,6681089.130,25.050817,60.242475
MA,1,2022,25498667.210,6674940.600,24.975979,60.187297
MA,2,2022,25491953.230,6679981.370,24.854773,60.232463
MA,1,2022,25496839.250,6677871.280,24.942988,60.213591
MA,1,2022,25504662.750,6680339.830,25.084161,60.235733
MA,1,2022,25511387.950,6683659.550,25.205735,60.265396
MA,1,2022,25494435.390,6680341.960,24.899560,60.235741
MA,1,2022,25493588.330,6676121.570,24.884405,60.197849
MA,1,2022,25495158.400,6677347.410,24.912682,60.208873
MA,1,2022,25502684.770,6680972.080,25.048468,60.241426
MA,1,2022,25504361.040,6679152.530,25.078690,60.225080
MA,1,2022,25496887.950,6675558.290,24.943902,60.192832
MA,2,2022,25504430.970,6678942.860,25.079947,60.223197
MA,1,2022,25502258.980,6683319.570,25.040807,60.262498
MA,1,2022,25507342.970,6680000.280,25.132526,60.232646
MA,1,2022,25491762.620,6680838.110,24.851298,60.240149
MA,1,2022,25499475.010,6681048.170,24.990522,60.242117
MA,1,2022,25494451.130,6680265.660,24.899847,60.235056
MA,1,2022,25499823.080,6681037.750,24.996806,60.242024
MA,1,2022,25494743.340,6679677.010,24.905136,60.229777
MA,1,2022,25493417.550,6678497.910,24.881249,60.219175
MA,1,2022,25497374.400,6675203.680,24.952675,60.189652
MA,1,2022,25496931.620,6676488.760,24.944675,60.201183
MA,1,2022,25497023.800,6679695.850,24.946290,60.229969
MA,1,2022,25496499.990,6675470.280,24.936910,60.192039
MA,1,2022,25496734.970,6671681.710,24.941206,60.158037
MA,1,2022,25500674.400,6683425.680,25.012183,60.263456
MA,1,2022,25500844.410,6680144.710,25.015241,60.234008
MA,1,2022,25495419.600,6674870.550,24.917449,60.186645
MA,1,2022,25501517.910,6679435.910,25.027391,60.227644
MA,1,2022,25498996.340,6682070.460,24.981876,60.251292
MA,1,2022,25511604.060,6683779.270,25.209646,60.266464
MA,1,2022,25494682.700,6677271.850,24.904105,60.208189
MA,1,2022,25506152.710,6680050.230,25.111046,60.233114
MA,2,2022,25503492.020,6677225.740,25.062976,60.207795
MA,1,2022,25493643.480,6675957.780,24.885404,60.196380
MA,1,2022,25492962.340,6679407.620,24.873005,60.227332
MA,1,2022,25503432.440,6682001.960,25.061983,60.250664
MA,1,2022,25492093.230,6679089.440,24.857334,60.224460
MA,1,2022,25497181.590,6681292.150,24.949115,60.244297
MA,1,2022,25497699.570,6674113.060,24.958548,60.179866
MA,1,2022,25508004.680,6675190.440,25.144279,60.189464
MA,1,2022,25495994.140,6674355.150,24.927813,60.182025
MA,1,2022,25501637.780,6681102.750,25.029568,60.242604
MA,1,2022,25497183.450,6675988.280,24.949222,60.196693
MA,1,2022,25498652.520,6680515.480,24.975677,60.237334
MA,1,2022,25496627.770,6673089.700,24.939253,60.170673
MA,1,2022,25503422.950,6681989.540,25.061811,60.250552
MA,1,2022,25496476.150,6673121.490,24.936521,60.170957
MA,1,2022,25503642.480,6682035.030,25.065776,60.250959
MA,1,2022,25505174.010,6677353.340,25.093313,60.208922
MA,1,2022,25494508.580,6675395.560,24.901015,60.191346
MA,1,2022,25493015.870,6671719.120,24.874235,60.158326
MA,1,2022,25507905.140,6676710.540,25.142544,60.203109
MA,1,2022,25505040.800,6677480.720,25.090914,60.210067
MA,1,2022,25505700.230,6677251.620,25.102801,60.208002
MA,1,2022,25504776.880,6677806.810,25.086162,60.212997
MA,1,2022,25497046.000,6674841.510,24.946761,60.186400
MA,2,2022,25511582.980,6683037.190,25.209223,60.259805
MA,1,2022,25503319.800,6681937.020,25.059948,60.250082
MA,1,2022,25497651.220,6672837.920,24.957692,60.168420
MA,1,2022,25498154.200,6676962.150,24.966715,60.205440
MA,1,2022,25507495.470,6680341.770,25.135291,60.235708
MA,1,2022,25497106.290,6672521.040,24.947881,60.165573
MA,1,2022,25498212.270,6681291.810,24.967724,60.244300
MA,1,2022,25499080.040,6681000.760,24.983392,60.241691
MA,1,2022,25497925.670,6681321.830,24.962549,60.244568
MA,1,2022,25500831.740,6681211.600,25.015016,60.243583
MA,1,2022,25493237.240,6676984.390,24.878046,60.205587
MA,2,2022,25504432.350,6678952.520,25.079972,60.223284
MA,1,2022,25497869.040,6673500.800,24.961609,60.174371
MA,1,2022,25496589.500,6680837.780,24.938433,60.240215
MA,2,2022,25496194.230,6671277.930,24.931477,60.154408
MA,2,2022,25495664.880,6674727.670,24.921872,60.185366
MA,1,2022,25504467.940,6677924.960,25.080592,60.214061
MA,1,2022,25509277.100,6678449.350,25.167362,60.218687
MA,1,2022,25493003.770,6680819.040,24.873704,60.240001
MA,1,2022,25494149.670,6680917.410,24.894387,60.240902
MA,1,2022,25496898.370,6672759.330,24.944132,60.167710
MA,1,2022,25502271.290,6685448.790,25.041054,60.281608
MA,2,2022,25491021.740,6679678.830,24.837975,60.229728
MA,2,2022,25503731.620,6679546.200,25.067340,60.228620
MA,1,2022,25503741.630,6677255.050,25.067478,60.208056
MA,1,2022,25495529.580,6673400.510,24.919463,60.173452
MA,2,2022,25493865.480,6681581.160,24.889236,60.246855
MA,1,2022,25494189.210,6679501.000,24.895141,60.228190
MA,1,2022,25496292.470,6672406.490,24.933225,60.164538
MA,1,2022,25505948.640,6680563.730,25.107378,60.237726
MA,1,2022,25493916.620,6680217.660,24.890200,60.234618
MA,1,2022,25504028.820,6679456.840,25.072702,60.227815
MA,1,2022,25497624.330,6675748.900,24.957174,60.194548
MA,1,2022,25496811.750,6672465.300,24.942577,60.165070
MA,1,2022,25501144.960,6680991.100,25.020670,60.241604
MA,1,2022,25496485.590,6679907.850,24.936573,60.231867
MA,1,2022,25496470.850,6673156.490,24.936425,60.171271
MA,1,2022,25505943.200,6680552.450,25.107279,60.237625
MA,1,2022,25504773.940,6677928.630,25.086111,60.214090
MA,1,2022,25494604.120,6679978.410,24.902616,60.232480
MA,2,2022,25498757.850,6679292.060,24.977586,60.226354
MA,1,2022,25497189.060,6672900.180,24.949366,60.168976
MA,1,2022,25496796.750,6674743.950,24.942271,60.185522
MA,1,2022,25496977.860,6676326.520,24.945511,60.199728
MA,1,2022,25504551.230,6680372.190,25.082149,60.236025
MA,1,2022,25498030.340,6674540.420,24.964504,60.183703
MA,1,2022,25502581.810,6677006.890,25.046559,60.205837
MA,1,2022,25497800.430,6674276.070,24.960364,60.181329
MA,2,2022,25494636.860,6680434.310,24.903194,60.236572
MA,2,2022,25498642.840,6677344.630,24.975524,60.208875
MA,1,2022,25497891.630,6676152.740,24.961988,60.198174
MA,1,2022,25496092.960,6674396.840,24.929593,60.182400
MA,1,2022,25498142.010,6675159.510,24.966511,60.189260
MA,2,2022,25495277.690,6677135.740,24.914838,60.206975
MA,1,2022,25498072.220,6674584.680,24.965259,60.184101
MA,2,2022,25497349.990,6675498.770,24.952231,60.192301
MA,1,2022,25497624.910,6675750.700,24.957184,60.194564
MA,2,2022,25498244.240,6677233.340,24.968336,60.207874
