rank,count,weighted_score,sev_1,sev_2,sev_3,type_MA,type_PP,type_JK,type_MP,lat,lon
1,351,408.0,294,57,0,337,4,1,9,60.212649,25.087021
2,295,325.0,265,30,0,259,11,22,3,60.167175,24.942896
3,293,314.0,274,18,1,279,7,2,5,60.164708,24.921059
4,269,307.0,231,38,0,214,15,38,2,60.170694,24.939245
5,225,287.0,165,59,1,173,26,14,12,60.188902,24.918933
6,239,269.0,209,30,0,222,5,9,3,60.167275,24.921156
7,217,257.0,179,37,1,181,7,25,4,60.170850,24.936997
8,218,249.0,187,31,0,181,6,30,1,60.171166,24.944978
9,216,246.0,186,30,0,192,5,13,6,60.191272,24.910797
10,197,242.0,152,45,0,144,4,47,2,60.170793,24.942960
11,207,239.0,175,32,0,183,9,11,4,60.194566,24.956993
12,210,228.0,192,18,0,186,11,8,5,60.168539,24.957375
13,178,213.0,143,35,0,158,3,13,4,60.181465,24.927384
14,176,209.0,143,33,0,156,12,5,3,60.208743,24.945159
15,170,207.0,135,34,1,135,8,25,2,60.169575,24.938895
16,168,196.0,140,28,0,162,0,1,5,60.214599,25.085282
17,158,189.0,129,28,1,109,2,44,3,60.170538,24.941037
18,155,182.0,128,27,0,143,5,6,1,60.185146,24.916579
19,151,181.0,121,30,0,124,10,15,2,60.189505,24.916843
20,162,176.0,148,14,0,151,7,2,2,60.163298,24.921445
21,151,176.0,128,22,1,124,7,17,3,60.167313,24.941212
22,148,171.0,125,23,0,119,3,21,5,60.167109,24.933064
23,150,170.0,130,20,0,141,1,2,6,60.164502,24.912781
24,145,169.0,121,24,0,128,5,7,5,60.174856,24.950461
25,152,168.0,136,16,0,127,6,15,4,60.169156,24.928972
26,142,165.0,119,23,0,123,7,10,2,60.172682,24.934640
27,151,161.0,141,10,0,142,6,1,2,60.162430,24.922615
28,145,155.0,137,7,1,134,0,8,3,60.167110,24.947172
29,118,153.0,83,35,0,97,16,2,3,60.242399,24.996817
30,135,152.0,118,17,0,119,5,8,3,60.170863,24.920653
31,132,152.0,114,17,1,112,7,10,3,60.167505,24.952848
32,126,149.0,105,20,1,122,1,0,3,60.223062,25.080964
33,127,147.0,107,20,0,122,0,2,3,60.203152,24.965120
34,119,146.0,92,27,0,108,5,5,1,60.189361,24.964509
35,132,145.0,121,10,1,119,3,5,5,60.166870,24.937132
36,131,144.0,118,13,0,122,3,2,4,60.169381,24.958771
37,122,144.0,100,22,0,107,9,5,1,60.177378,24.929185
38,119,144.0,96,22,1,108,4,2,5,60.283414,25.029236
39,120,143.0,97,23,0,92,10,9,9,60.176962,24.922622
40,114,143.0,85,29,0,112,0,0,2,60.223265,25.079798
41,121,142.0,100,21,0,103,6,7,5,60.203118,24.899174
42,130,139.0,121,9,0,116,4,7,3,60.167291,24.945222
43,124,138.0,112,11,1,108,1,10,5,60.179106,24.922998
44,116,138.0,100,13,3,98,0,16,2,60.168453,24.940755
45,115,138.0,92,23,0,107,1,2,5,60.202893,24.881350
46,117,137.0,99,17,1,103,0,10,4,60.194439,25.030784
47,117,132.0,102,15,0,96,3,11,7,60.167047,24.930864
48,115,132.0,98,17,0,100,5,6,4,60.173172,24.919465
49,111,130.0,92,19,0,99,7,2,3,60.189473,24.961008
50,107,130.0,84,23,0,80,2,23,2,60.168571,24.935066
51,100,130.0,70,30,0,78,12,5,5,60.227479,24.873142
52,121,129.0,113,8,0,110,3,7,1,60.164510,24.947232
53,99,128.0,70,29,0,80,3,16,0,60.187547,24.918844
54,120,127.0,113,7,0,117,1,1,1,60.207406,24.898998
55,108,127.0,89,19,0,87,15,4,2,60.196650,24.884887
56,105,127.0,83,22,0,88,8,5,4,60.163099,24.935100
57,98,127.0,73,23,2,78,5,13,2,60.191133,24.913024
58,115,126.0,106,8,1,108,1,4,2,60.167440,24.951146
59,114,125.0,103,11,0,105,4,3,2,60.170712,24.931064
60,108,125.0,91,17,0,94,6,4,4,60.188734,24.970871
61,99,125.0,73,26,0,79,2,18,0,60.180731,24.951100
62,107,124.0,90,17,0,100,4,0,3,60.209038,25.075287
63,108,123.0,93,15,0,94,1,10,3,60.173231,24.949156
64,100,122.0,78,22,0,97,2,0,1,60.230433,25.054772
65,92,120.0,64,28,0,75,8,4,5,60.180675,24.959320
66,108,119.0,97,11,0,102,2,1,3,60.241060,25.020625
67,105,119.0,91,14,0,92,5,6,2,60.164870,24.940982
68,102,117.0,87,15,0,93,3,5,1,60.171137,24.932584
69,100,117.0,83,17,0,96,0,0,4,60.235496,24.901148
70,96,117.0,75,21,0,87,6,1,2,60.208926,24.890911
71,99,116.0,82,17,0,84,5,9,1,60.165271,24.943262
72,103,115.0,91,12,0,87,4,7,5,60.164804,24.933025
73,92,115.0,69,23,0,72,5,15,0,60.196890,24.962293
74,90,114.0,66,24,0,69,11,4,6,60.190658,24.949213
75,87,114.0,62,24,1,57,8,20,2,60.171185,24.935377
76,102,113.0,91,11,0,87,4,10,1,60.169581,24.927214
77,96,113.0,79,17,0,88,0,2,6,60.213149,24.943294
78,93,113.0,73,20,0,77,7,7,2,60.241097,24.927025
79,90,113.0,67,23,0,74,6,5,5,60.186737,24.968732
80,104,112.0,96,8,0,93,4,3,4,60.161599,24.929298
81,97,112.0,84,12,1,89,3,3,2,60.164708,24.928910
82,83,112.0,54,29,0,61,9,11,2,60.188989,24.963343
83,92,111.0,73,19,0,88,0,0,4,60.235201,24.899014
84,88,111.0,65,23,0,67,15,3,3,60.185174,24.966850
85,87,111.0,63,24,0,63,7,15,2,60.187040,24.961242
86,95,110.0,80,15,0,87,2,2,4,60.184742,24.942914
87,88,110.0,66,22,0,65,16,4,3,60.193034,24.930816
88,87,110.0,66,20,1,76,0,9,2,60.178693,24.928896
89,94,109.0,81,12,1,83,5,6,0,60.165074,24.927003
90,87,109.0,69,16,2,58,20,4,5,60.193275,25.036593
91,82,109.0,57,24,1,63,2,16,1,60.178824,24.950560
92,93,108.0,78,15,0,79,6,6,2,60.193108,25.035216
93,88,108.0,68,20,0,77,1,8,2,60.170439,24.929004
94,78,108.0,52,24,2,66,6,3,3,60.243708,24.845524
95,95,107.0,83,12,0,86,4,2,3,60.159013,24.948877
96,78,106.0,54,22,2,53,1,22,2,60.187702,24.962743
97,82,105.0,59,23,0,72,5,5,0,60.192577,24.929459
98,78,103.0,55,22,1,74,3,0,1,60.227118,25.075354
