rank,count,weighted_score,sev_1,sev_2,sev_3,type_MA,type_PP,type_JK,type_MP,lat,lon
1,48,56.0,40,8,0,45,2,0,1,60.212731,25.086933
2,20,29.0,11,9,0,19,0,0,1,60.223291,25.079821
3,21,27.0,15,6,0,17,1,3,0,60.194583,24.957112
4,21,26.0,16,5,0,14,2,3,2,60.214180,25.086405
5,16,23.0,9,7,0,13,1,1,1,60.208835,24.945051
6,15,20.0,10,5,0,12,3,0,0,60.242324,24.996829
7,17,19.0,15,2,0,15,1,0,1,60.191194,24.910606
8,16,19.0,13,3,0,16,0,0,0,60.170976,24.936726
9,14,19.0,9,5,0,14,0,0,0,60.234747,24.886642
10,12,19.0,5,7,0,8,2,2,0,60.186451,24.968411
11,12,19.0,5,7,0,6,6,0,0,60.208659,25.056350
12,16,18.0,14,2,0,15,1,0,0,60.162248,24.922633
13,14,18.0,10,4,0,12,1,0,1,60.235415,24.859319
14,11,17.0,5,6,0,5,2,1,3,60.263131,25.068911
15,13,16.0,10,3,0,13,0,0,0,60.237677,25.107257
16,11,16.0,6,5,0,8,3,0,0,60.179309,24.956688
17,9,16.0,2,7,0,6,2,1,0,60.185340,24.916498
18,13,15.0,11,2,0,13,0,0,0,60.223112,25.081058
19,12,15.0,9,3,0,11,0,1,0,60.202679,24.881486
20,12,15.0,9,3,0,12,0,0,0,60.235328,24.899098
21,11,15.0,7,4,0,7,3,0,1,60.189250,24.918866
22,11,15.0,7,4,0,9,0,0,2,60.243315,25.052767
23,10,15.0,5,5,0,7,3,0,0,60.208896,24.891111
24,9,15.0,3,6,0,6,1,2,0,60.186945,24.961034
25,11,14.0,8,3,0,10,0,1,0,60.196979,24.962151
26,10,14.0,6,4,0,5,5,0,0,60.189167,24.966543
27,7,14.0,2,4,1,7,0,0,0,60.227204,25.075460
28,11,13.0,9,2,0,10,1,0,0,60.241387,24.996995
29,10,13.0,7,3,0,8,0,2,0,60.170716,24.939545
30,10,13.0,7,3,0,10,0,0,0,60.241914,24.986955
31,9,13.0,5,4,0,4,2,3,0,60.188949,24.963308
32,9,13.0,5,4,0,6,0,2,1,60.187295,24.957064
33,11,12.0,10,1,0,11,0,0,0,60.203193,24.965232
34,10,12.0,8,2,0,7,1,1,1,60.210295,25.090700
35,10,12.0,8,2,0,9,0,0,1,60.241560,25.049243
36,10,12.0,8,2,0,8,2,0,0,60.227453,24.873162
37,10,12.0,8,2,0,8,2,0,0,60.208678,25.075362
38,9,12.0,6,3,0,7,1,1,0,60.192612,24.929486
39,9,12.0,6,3,0,7,1,0,1,60.166909,24.937330
40,9,12.0,6,3,0,7,1,0,1,60.213597,25.084901
41,8,12.0,4,4,0,2,4,2,0,60.265672,25.042544
42,8,12.0,4,4,0,6,2,0,0,60.252910,25.014583
43,8,12.0,4,4,0,6,1,1,0,60.175133,24.950263
44,8,12.0,4,4,0,3,3,1,1,60.211366,24.881318
45,8,12.0,4,4,0,3,4,1,0,60.193641,24.948912
46,7,12.0,2,5,0,2,1,4,0,60.210762,25.078599
47,7,12.0,2,5,0,7,0,0,0,60.232608,24.855223
48,7,12.0,2,5,0,4,3,0,0,60.248713,25.007153
49,7,12.0,2,5,0,5,2,0,0,60.165384,24.911515
50,7,12.0,2,5,0,3,3,1,0,60.188907,24.969259
51,10,11.0,9,1,0,9,1,0,0,60.167106,24.942731
52,9,11.0,7,2,0,8,0,0,1,60.164603,24.912511
53,8,11.0,5,3,0,6,0,2,0,60.167497,24.945240
54,8,11.0,5,3,0,6,0,2,0,60.196829,24.884760
55,8,11.0,5,3,0,7,0,0,1,60.184569,24.942641
56,8,11.0,5,3,0,6,1,0,1,60.240788,24.927357
57,8,11.0,5,3,0,6,1,1,0,60.183113,24.918872
58,8,11.0,5,3,0,8,0,0,0,60.214526,25.085372
59,8,11.0,5,3,0,6,1,1,0,60.167468,24.921266
60,8,11.0,5,3,0,7,1,0,0,60.237140,25.041207
61,6,11.0,1,5,0,4,0,2,0,60.192545,24.909121
62,6,11.0,1,5,0,1,1,4,0,60.212378,25.081853
63,9,10.0,8,1,0,8,0,1,0,60.171084,24.945198
64,9,10.0,8,1,0,9,0,0,0,60.213305,24.943353
65,9,10.0,8,1,0,9,0,0,0,60.242323,24.940995
66,9,10.0,8,1,0,9,0,0,0,60.164858,24.921077
67,8,10.0,6,2,0,8,0,0,0,60.207815,24.899180
68,8,10.0,6,2,0,5,1,2,0,60.167204,24.941121
69,7,10.0,4,3,0,4,2,1,0,60.228575,25.123542
70,7,10.0,4,3,0,6,0,0,1,60.240340,24.850963
71,7,10.0,4,3,0,3,4,0,0,60.236815,24.889226
72,7,10.0,4,3,0,6,1,0,0,60.189566,24.964485
73,7,10.0,4,3,0,7,0,0,0,60.234510,24.893124
74,6,10.0,2,4,0,4,1,1,0,60.189727,24.961234
75,6,10.0,2,4,0,2,3,0,1,60.192976,24.930828
76,6,10.0,2,4,0,3,1,0,2,60.263632,25.057394
77,6,10.0,2,4,0,4,1,1,0,60.183460,24.915588
78,6,10.0,2,4,0,1,4,1,0,60.215457,24.958303
